Zeit;Wert 1-avg[W]
2023-01-07 15:01:30.585904; 31.9515
2023-01-07 15:01:31.593888; 31.994102
2023-01-07 15:01:32.622353; 31.994102
2023-01-07 15:01:33.624162; 32.38704
2023-01-07 15:01:34.641370; 31.56118
2023-01-07 15:01:35.658806; 31.645908
2023-01-07 15:01:36.673195; 31.603544
2023-01-07 15:01:37.691514; 31.603544
2023-01-07 15:01:38.710106; 32.746896
2023-01-07 15:01:39.714203; 31.859673
2023-01-07 15:01:40.729096; 31.774827
2023-01-07 15:01:41.749898; 31.689981
2023-01-07 15:01:42.753693; 31.512942
2023-01-07 15:01:43.777044; 32.03766
2023-01-07 15:01:44.797025; 31.512942
2023-01-07 15:01:45.808993; 32.16564
2023-01-07 15:01:46.818691; 32.03766
2023-01-07 15:01:47.819897; 31.859673
2023-01-07 15:01:48.853816; 33.49758
2023-01-07 15:01:49.869995; 31.647558
2023-01-07 15:01:50.872445; 31.647558
2023-01-07 15:01:51.888978; 31.689981
2023-01-07 15:01:52.892758; 31.605135
2023-01-07 15:01:53.916140; 31.605135
2023-01-07 15:01:54.921078; 32.03766
2023-01-07 15:01:55.935942; 31.995
2023-01-07 15:01:56.964097; 31.81725
2023-01-07 15:01:57.977931; 31.597314
2023-01-07 15:01:58.995936; 32.08032
2023-01-07 15:02:00.023145; 31.512942
2023-01-07 15:02:01.042744; 31.470756
2023-01-07 15:02:02.055720; 31.512942
2023-01-07 15:02:03.057106; 32.03766
2023-01-07 15:02:04.078239; 32.38704
2023-01-07 15:02:05.092952; 31.908898
2023-01-07 15:02:06.103922; 31.773
2023-01-07 15:02:07.127250; 31.688272
2023-01-07 15:02:08.150340; 31.645908
2023-01-07 15:02:09.160590; 31.688272
2023-01-07 15:02:10.193460; 31.587597
2023-01-07 15:02:11.202920; 31.859673
2023-01-07 15:02:12.228792; 31.866296
2023-01-07 15:02:13.240902; 31.944519
2023-01-07 15:02:14.253012; 31.597314
2023-01-07 15:02:15.263531; 31.470756
2023-01-07 15:02:16.283535; 31.335903
2023-01-07 15:02:17.314321; 31.252005
2023-01-07 15:02:18.331004; 32.344338
2023-01-07 15:02:19.339343; 31.859673
2023-01-07 15:02:20.356060; 31.859673
2023-01-07 15:02:21.366117; 31.732404
2023-01-07 15:02:22.388542; 31.689981
2023-01-07 15:02:23.407178; 39.2472
2023-01-07 15:02:24.433464; 31.859673
2023-01-07 15:02:25.452906; 30.950304
2023-01-07 15:02:26.475150; 31.689981
2023-01-07 15:02:27.492326; 31.645908
2023-01-07 15:02:28.510448; 31.645908
2023-01-07 15:02:29.513605; 32.13
2023-01-07 15:02:30.530929; 31.257492
